Status_des_Girokontos,Dauer_in_Monaten,Kreditgeschichte,Kreditverwendungszweck,Kreditbetrag,Sparkonto_Wertpapiere,Beschäftigt_seit,Ratenhöhe,Familienstand_Geschlecht,Weitere_Bürgen_Schuldner,Wohnsitzdauer,Vermögen,Alter,Andere_Ratenverpflichtungen,Wohnsituation,Anzahl_bestehender_Kredite,Beruf,Unterhaltspflichtige_Personen,Telefon,Ausländischer_Arbeiter,Ziel
0 <= ... < 200 DM,21,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Geschäft,2767,100 <= ... < 500 DM,.. >= 7 Jahre,4,männlich : geschieden/getrennt,keine,2,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",61,Bank,Miete,2,ungelernt - ansässig,1,kein Telefon,ja,schlechter Kredit
kein Girokonto,12,kritisches Konto / andere Kredite bestehen (nicht bei dieser Bank),Radio/TV,1291,... < 100 DM,1 <= ... < 4 Jahre,4,weiblich : geschieden/getrennt/verheiratet,keine,2,wenn nicht A121: Bausparvertrag/Lebensversicherung,35,Keine,Eigentum,2,gelernt - Angestellter/Beamter,1,kein Telefon,ja,guter Kredit
... < 0 DM,30,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Radio/TV,2522,... < 100 DM,.. >= 7 Jahre,1,männlich : ledig,Bürge,3,wenn nicht A121: Bausparvertrag/Lebensversicherung,39,Keine,Eigentum,1,gelernt - Angestellter/Beamter,2,kein Telefon,ja,guter Kredit
... < 0 DM,24,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Auto (neu),915,unbekannt/kein Sparkonto,.. >= 7 Jahre,4,weiblich : geschieden/getrennt/verheiratet,keine,2,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",29,Bank,Eigentum,1,gelernt - Angestellter/Beamter,1,kein Telefon,ja,schlechter Kredit
kein Girokonto,6,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Radio/TV,1595,... < 100 DM,4 <= ... < 7 Jahre,3,männlich : ledig,keine,2,wenn nicht A121: Bausparvertrag/Lebensversicherung,51,Keine,Eigentum,1,gelernt - Angestellter/Beamter,2,kein Telefon,ja,guter Kredit
... < 0 DM,48,keine Kredite aufgenommen / alle Kredite wurden ordnungsgemäß zurückgezahlt,Auto (gebraucht),4605,... < 100 DM,.. >= 7 Jahre,3,männlich : ledig,keine,4,unbekannt/kein Eigentum,24,Keine,kostenlos,2,gelernt - Angestellter/Beamter,2,kein Telefon,ja,schlechter Kredit
kein Girokonto,12,kritisches Konto / andere Kredite bestehen (nicht bei dieser Bank),Geschäft,1185,... < 100 DM,1 <= ... < 4 Jahre,3,weiblich : geschieden/getrennt/verheiratet,keine,2,Immobilie,27,Keine,Eigentum,2,gelernt - Angestellter/Beamter,1,kein Telefon,ja,guter Kredit
kein Girokonto,12,alle Kredite bei dieser Bank wurden ordnungsgemäß zurückgezahlt,Umschulung,3447,500 <= ... < 1000 DM,1 <= ... < 4 Jahre,4,weiblich : geschieden/getrennt/verheiratet,keine,3,Immobilie,35,Keine,Eigentum,1,ungelernt - ansässig,2,kein Telefon,ja,guter Kredit
kein Girokonto,24,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Geschäft,1258,... < 100 DM,4 <= ... < 7 Jahre,4,männlich : ledig,keine,1,Immobilie,25,Keine,Eigentum,1,gelernt - Angestellter/Beamter,1,"ja, unter dem Namen des Kunden registriert",ja,guter Kredit
kein Girokonto,12,kritisches Konto / andere Kredite bestehen (nicht bei dieser Bank),Radio/TV,717,... < 100 DM,.. >= 7 Jahre,4,männlich : ledig,keine,4,Immobilie,52,Keine,Eigentum,3,gelernt - Angestellter/Beamter,1,kein Telefon,ja,guter Kredit
kein Girokonto,6,keine Kredite aufgenommen / alle Kredite wurden ordnungsgemäß zurückgezahlt,Auto (neu),1204,100 <= ... < 500 DM,1 <= ... < 4 Jahre,4,männlich : ledig,keine,1,unbekannt/kein Eigentum,35,Bank,Miete,1,gelernt - Angestellter/Beamter,1,kein Telefon,nein,guter Kredit
... >= 200 DM / Gehaltspfändung mindestens 1 Jahr,24,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Möbel/Ausstattung,1925,... < 100 DM,1 <= ... < 4 Jahre,2,männlich : ledig,keine,2,Immobilie,26,Keine,Eigentum,1,gelernt - Angestellter/Beamter,1,kein Telefon,ja,guter Kredit
kein Girokonto,18,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Radio/TV,433,... < 100 DM,arbeitslos,3,weiblich : geschieden/getrennt/verheiratet,Mit-Antragsteller,4,Immobilie,22,Keine,Miete,1,gelernt - Angestellter/Beamter,1,kein Telefon,ja,schlechter Kredit
... < 0 DM,6,kritisches Konto / andere Kredite bestehen (nicht bei dieser Bank),Auto (neu),666,.. >= 1000 DM,4 <= ... < 7 Jahre,3,weiblich : geschieden/getrennt/verheiratet,keine,4,Immobilie,39,Keine,Eigentum,2,ungelernt - ansässig,1,"ja, unter dem Namen des Kunden registriert",ja,guter Kredit
... >= 200 DM / Gehaltspfändung mindestens 1 Jahr,12,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Möbel/Ausstattung,2251,... < 100 DM,1 <= ... < 4 Jahre,1,weiblich : geschieden/getrennt/verheiratet,keine,2,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",46,Keine,Eigentum,1,ungelernt - ansässig,1,kein Telefon,ja,guter Kredit
0 <= ... < 200 DM,30,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Auto (neu),2150,... < 100 DM,1 <= ... < 4 Jahre,4,weiblich : geschieden/getrennt/verheiratet,Bürge,2,unbekannt/kein Eigentum,24,Bank,Eigentum,1,gelernt - Angestellter/Beamter,1,kein Telefon,ja,schlechter Kredit
kein Girokonto,24,Verzögerungen bei der Rückzahlung in der Vergangenheit,Möbel/Ausstattung,4151,100 <= ... < 500 DM,1 <= ... < 4 Jahre,2,männlich : ledig,keine,3,wenn nicht A121: Bausparvertrag/Lebensversicherung,35,Keine,Eigentum,2,gelernt - Angestellter/Beamter,1,kein Telefon,ja,guter Kredit
0 <= ... < 200 DM,9,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Möbel/Ausstattung,2030,unbekannt/kein Sparkonto,4 <= ... < 7 Jahre,2,männlich : ledig,keine,1,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",24,Keine,Eigentum,1,gelernt - Angestellter/Beamter,1,"ja, unter dem Namen des Kunden registriert",ja,guter Kredit
0 <= ... < 200 DM,60,Verzögerungen bei der Rückzahlung in der Vergangenheit,Radio/TV,7418,unbekannt/kein Sparkonto,1 <= ... < 4 Jahre,1,männlich : ledig,keine,1,Immobilie,27,Keine,Eigentum,1,ungelernt - ansässig,1,kein Telefon,ja,guter Kredit
kein Girokonto,24,kritisches Konto / andere Kredite bestehen (nicht bei dieser Bank),Radio/TV,2684,... < 100 DM,1 <= ... < 4 Jahre,4,männlich : ledig,keine,2,Immobilie,35,Keine,Eigentum,2,ungelernt - ansässig,1,kein Telefon,ja,guter Kredit
... < 0 DM,12,alle Kredite bei dieser Bank wurden ordnungsgemäß zurückgezahlt,Radio/TV,2149,... < 100 DM,1 <= ... < 4 Jahre,4,männlich : geschieden/getrennt,keine,1,unbekannt/kein Eigentum,29,Keine,kostenlos,1,gelernt - Angestellter/Beamter,1,kein Telefon,ja,schlechter Kredit
kein Girokonto,15,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Auto (gebraucht),3812,100 <= ... < 500 DM,... < 1 Jahr,1,weiblich : geschieden/getrennt/verheiratet,keine,4,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",23,Keine,Eigentum,1,gelernt - Angestellter/Beamter,1,"ja, unter dem Namen des Kunden registriert",ja,guter Kredit
kein Girokonto,11,kritisches Konto / andere Kredite bestehen (nicht bei dieser Bank),Radio/TV,1154,100 <= ... < 500 DM,arbeitslos,4,weiblich : geschieden/getrennt/verheiratet,keine,4,Immobilie,57,Keine,Eigentum,3,ungelernt - ansässig,1,kein Telefon,ja,guter Kredit
... < 0 DM,12,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Möbel/Ausstattung,1657,... < 100 DM,1 <= ... < 4 Jahre,2,männlich : ledig,keine,2,Immobilie,27,Keine,Eigentum,1,gelernt - Angestellter/Beamter,1,kein Telefon,ja,guter Kredit
... < 0 DM,24,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Radio/TV,1603,... < 100 DM,.. >= 7 Jahre,4,weiblich : geschieden/getrennt/verheiratet,keine,4,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",55,Keine,Eigentum,1,gelernt - Angestellter/Beamter,1,kein Telefon,ja,guter Kredit
... < 0 DM,18,kritisches Konto / andere Kredite bestehen (nicht bei dieser Bank),Auto (neu),5302,... < 100 DM,.. >= 7 Jahre,2,männlich : ledig,keine,4,unbekannt/kein Eigentum,36,Keine,kostenlos,3,Management/selbstständig/hochqualifizierter Angestellter/Beamter,1,"ja, unter dem Namen des Kunden registriert",ja,guter Kredit
kein Girokonto,12,kritisches Konto / andere Kredite bestehen (nicht bei dieser Bank),Ausbildung,2748,... < 100 DM,.. >= 7 Jahre,2,weiblich : geschieden/getrennt/verheiratet,keine,4,unbekannt/kein Eigentum,57,Bank,kostenlos,3,ungelernt - ansässig,1,kein Telefon,ja,guter Kredit
kein Girokonto,10,kritisches Konto / andere Kredite bestehen (nicht bei dieser Bank),Auto (neu),1231,... < 100 DM,.. >= 7 Jahre,3,männlich : ledig,keine,4,Immobilie,32,Keine,Eigentum,2,ungelernt - ansässig,2,kein Telefon,nein,guter Kredit
0 <= ... < 200 DM,15,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Radio/TV,802,... < 100 DM,.. >= 7 Jahre,4,männlich : ledig,keine,3,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",37,Keine,Eigentum,1,gelernt - Angestellter/Beamter,2,kein Telefon,ja,schlechter Kredit
kein Girokonto,36,kritisches Konto / andere Kredite bestehen (nicht bei dieser Bank),Geschäft,6304,unbekannt/kein Sparkonto,.. >= 7 Jahre,4,männlich : ledig,keine,4,Immobilie,36,Keine,Eigentum,2,gelernt - Angestellter/Beamter,1,kein Telefon,ja,guter Kredit
kein Girokonto,24,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Radio/TV,1533,... < 100 DM,... < 1 Jahr,4,weiblich : geschieden/getrennt/verheiratet,keine,3,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",38,Läden,Eigentum,1,gelernt - Angestellter/Beamter,1,"ja, unter dem Namen des Kunden registriert",ja,guter Kredit
... < 0 DM,14,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Auto (neu),8978,... < 100 DM,.. >= 7 Jahre,1,männlich : geschieden/getrennt,keine,4,wenn nicht A121: Bausparvertrag/Lebensversicherung,45,Keine,Eigentum,1,Management/selbstständig/hochqualifizierter Angestellter/Beamter,1,"ja, unter dem Namen des Kunden registriert",nein,schlechter Kredit
kein Girokonto,24,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Radio/TV,999,unbekannt/kein Sparkonto,.. >= 7 Jahre,4,männlich : ledig,keine,2,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",25,Keine,Eigentum,2,gelernt - Angestellter/Beamter,1,kein Telefon,ja,guter Kredit
kein Girokonto,18,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Auto (neu),2662,unbekannt/kein Sparkonto,4 <= ... < 7 Jahre,4,männlich : ledig,keine,3,wenn nicht A121: Bausparvertrag/Lebensversicherung,32,Keine,Eigentum,1,gelernt - Angestellter/Beamter,1,kein Telefon,nein,guter Kredit
kein Girokonto,12,kritisches Konto / andere Kredite bestehen (nicht bei dieser Bank),Möbel/Ausstattung,1402,500 <= ... < 1000 DM,4 <= ... < 7 Jahre,3,weiblich : geschieden/getrennt/verheiratet,keine,4,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",37,Keine,Miete,1,gelernt - Angestellter/Beamter,1,"ja, unter dem Namen des Kunden registriert",ja,guter Kredit
0 <= ... < 200 DM,48,alle Kredite bei dieser Bank wurden ordnungsgemäß zurückgezahlt,Auto (neu),12169,unbekannt/kein Sparkonto,arbeitslos,4,männlich : ledig,Mit-Antragsteller,4,unbekannt/kein Eigentum,36,Keine,kostenlos,1,Management/selbstständig/hochqualifizierter Angestellter/Beamter,1,"ja, unter dem Namen des Kunden registriert",ja,guter Kredit
0 <= ... < 200 DM,48,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Radio/TV,3060,... < 100 DM,4 <= ... < 7 Jahre,4,männlich : ledig,keine,4,Immobilie,28,Keine,Eigentum,2,gelernt - Angestellter/Beamter,1,kein Telefon,ja,schlechter Kredit
... < 0 DM,30,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Reparaturen,11998,... < 100 DM,... < 1 Jahr,1,männlich : geschieden/getrennt,keine,1,unbekannt/kein Eigentum,34,Keine,Eigentum,1,ungelernt - ansässig,1,"ja, unter dem Namen des Kunden registriert",ja,schlechter Kredit
kein Girokonto,9,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Radio/TV,2697,... < 100 DM,1 <= ... < 4 Jahre,1,männlich : ledig,keine,2,Immobilie,32,Keine,Eigentum,1,gelernt - Angestellter/Beamter,2,kein Telefon,ja,guter Kredit
kein Girokonto,18,kritisches Konto / andere Kredite bestehen (nicht bei dieser Bank),Radio/TV,2404,... < 100 DM,1 <= ... < 4 Jahre,2,weiblich : geschieden/getrennt/verheiratet,keine,2,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",26,Keine,Eigentum,2,gelernt - Angestellter/Beamter,1,kein Telefon,ja,guter Kredit
... < 0 DM,12,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Möbel/Ausstattung,1262,unbekannt/kein Sparkonto,.. >= 7 Jahre,2,männlich : geschieden/getrennt,keine,4,wenn nicht A121: Bausparvertrag/Lebensversicherung,49,Keine,Eigentum,1,ungelernt - ansässig,1,"ja, unter dem Namen des Kunden registriert",ja,guter Kredit
kein Girokonto,6,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Möbel/Ausstattung,4611,... < 100 DM,... < 1 Jahr,1,weiblich : geschieden/getrennt/verheiratet,keine,4,wenn nicht A121: Bausparvertrag/Lebensversicherung,32,Keine,Eigentum,1,gelernt - Angestellter/Beamter,1,kein Telefon,ja,schlechter Kredit
kein Girokonto,24,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Radio/TV,1901,100 <= ... < 500 DM,1 <= ... < 4 Jahre,4,männlich : ledig,keine,4,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",29,Keine,Miete,1,Management/selbstständig/hochqualifizierter Angestellter/Beamter,1,"ja, unter dem Namen des Kunden registriert",ja,guter Kredit
kein Girokonto,15,kritisches Konto / andere Kredite bestehen (nicht bei dieser Bank),Auto (gebraucht),3368,.. >= 1000 DM,.. >= 7 Jahre,3,männlich : ledig,keine,4,unbekannt/kein Eigentum,23,Keine,Miete,2,gelernt - Angestellter/Beamter,1,"ja, unter dem Namen des Kunden registriert",ja,guter Kredit
kein Girokonto,12,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Möbel/Ausstattung,1574,... < 100 DM,1 <= ... < 4 Jahre,4,männlich : ledig,keine,2,Immobilie,50,Keine,Eigentum,1,gelernt - Angestellter/Beamter,1,kein Telefon,ja,guter Kredit
... >= 200 DM / Gehaltspfändung mindestens 1 Jahr,18,alle Kredite bei dieser Bank wurden ordnungsgemäß zurückgezahlt,Radio/TV,1445,unbekannt/kein Sparkonto,4 <= ... < 7 Jahre,4,männlich : ledig,keine,4,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",49,Bank,Eigentum,1,ungelernt - ansässig,1,kein Telefon,ja,guter Kredit
kein Girokonto,15,kritisches Konto / andere Kredite bestehen (nicht bei dieser Bank),Möbel/Ausstattung,1520,unbekannt/kein Sparkonto,.. >= 7 Jahre,4,männlich : ledig,keine,4,wenn nicht A121: Bausparvertrag/Lebensversicherung,63,Keine,Eigentum,1,gelernt - Angestellter/Beamter,1,kein Telefon,ja,guter Kredit
0 <= ... < 200 DM,24,kritisches Konto / andere Kredite bestehen (nicht bei dieser Bank),Auto (neu),3878,100 <= ... < 500 DM,... < 1 Jahr,4,männlich : geschieden/getrennt,keine,2,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",37,Keine,Eigentum,1,gelernt - Angestellter/Beamter,1,"ja, unter dem Namen des Kunden registriert",ja,guter Kredit
... < 0 DM,47,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Auto (neu),10722,... < 100 DM,... < 1 Jahr,1,weiblich : geschieden/getrennt/verheiratet,keine,1,Immobilie,35,Keine,Eigentum,1,ungelernt - ansässig,1,"ja, unter dem Namen des Kunden registriert",ja,guter Kredit
... < 0 DM,48,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Auto (gebraucht),4788,... < 100 DM,4 <= ... < 7 Jahre,4,männlich : ledig,keine,3,wenn nicht A121: Bausparvertrag/Lebensversicherung,26,Keine,Eigentum,1,gelernt - Angestellter/Beamter,2,kein Telefon,ja,guter Kredit
0 <= ... < 200 DM,48,Verzögerungen bei der Rückzahlung in der Vergangenheit,Sonstiges,7582,100 <= ... < 500 DM,arbeitslos,2,männlich : ledig,keine,4,unbekannt/kein Eigentum,31,Keine,kostenlos,1,Management/selbstständig/hochqualifizierter Angestellter/Beamter,1,"ja, unter dem Namen des Kunden registriert",ja,guter Kredit
0 <= ... < 200 DM,12,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Radio/TV,1092,... < 100 DM,1 <= ... < 4 Jahre,4,weiblich : geschieden/getrennt/verheiratet,Bürge,4,Immobilie,49,Keine,Eigentum,2,gelernt - Angestellter/Beamter,1,"ja, unter dem Namen des Kunden registriert",ja,guter Kredit
... < 0 DM,24,Verzögerungen bei der Rückzahlung in der Vergangenheit,Radio/TV,1024,... < 100 DM,... < 1 Jahr,4,männlich : verheiratet/witwer,keine,4,Immobilie,48,Läden,Eigentum,1,gelernt - Angestellter/Beamter,1,kein Telefon,ja,schlechter Kredit
kein Girokonto,12,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Geschäft,1076,... < 100 DM,1 <= ... < 4 Jahre,2,männlich : verheiratet/witwer,keine,2,Immobilie,26,Keine,Eigentum,1,gelernt - Angestellter/Beamter,1,"ja, unter dem Namen des Kunden registriert",nein,guter Kredit
0 <= ... < 200 DM,36,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Auto (gebraucht),9398,... < 100 DM,... < 1 Jahr,1,männlich : verheiratet/witwer,keine,4,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",28,Keine,Miete,1,Management/selbstständig/hochqualifizierter Angestellter/Beamter,1,"ja, unter dem Namen des Kunden registriert",ja,schlechter Kredit
... < 0 DM,24,kritisches Konto / andere Kredite bestehen (nicht bei dieser Bank),Auto (gebraucht),6419,... < 100 DM,.. >= 7 Jahre,2,weiblich : geschieden/getrennt/verheiratet,keine,4,unbekannt/kein Eigentum,44,Keine,kostenlos,2,Management/selbstständig/hochqualifizierter Angestellter/Beamter,2,"ja, unter dem Namen des Kunden registriert",ja,guter Kredit
... >= 200 DM / Gehaltspfändung mindestens 1 Jahr,42,kritisches Konto / andere Kredite bestehen (nicht bei dieser Bank),Auto (gebraucht),4796,... < 100 DM,.. >= 7 Jahre,4,männlich : ledig,keine,4,unbekannt/kein Eigentum,56,Keine,kostenlos,1,gelernt - Angestellter/Beamter,1,kein Telefon,ja,guter Kredit
kein Girokonto,48,kritisches Konto / andere Kredite bestehen (nicht bei dieser Bank),Geschäft,7629,unbekannt/kein Sparkonto,.. >= 7 Jahre,4,männlich : geschieden/getrennt,keine,2,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",46,Bank,Eigentum,2,Management/selbstständig/hochqualifizierter Angestellter/Beamter,2,kein Telefon,ja,guter Kredit
0 <= ... < 200 DM,48,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Möbel/Ausstattung,9960,... < 100 DM,... < 1 Jahr,1,weiblich : geschieden/getrennt/verheiratet,keine,2,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",26,Keine,Eigentum,1,gelernt - Angestellter/Beamter,1,"ja, unter dem Namen des Kunden registriert",ja,schlechter Kredit
kein Girokonto,12,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Auto (gebraucht),4675,unbekannt/kein Sparkonto,... < 1 Jahr,1,weiblich : geschieden/getrennt/verheiratet,keine,4,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",20,Keine,Miete,1,gelernt - Angestellter/Beamter,1,kein Telefon,ja,guter Kredit
kein Girokonto,10,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Auto (neu),1287,unbekannt/kein Sparkonto,.. >= 7 Jahre,4,männlich : ledig,Mit-Antragsteller,2,wenn nicht A121: Bausparvertrag/Lebensversicherung,45,Keine,Eigentum,1,ungelernt - ansässig,1,kein Telefon,nein,guter Kredit
kein Girokonto,18,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Möbel/Ausstattung,2515,... < 100 DM,1 <= ... < 4 Jahre,3,männlich : ledig,keine,4,Immobilie,43,Keine,Eigentum,1,gelernt - Angestellter/Beamter,1,"ja, unter dem Namen des Kunden registriert",ja,guter Kredit
0 <= ... < 200 DM,21,kritisches Konto / andere Kredite bestehen (nicht bei dieser Bank),Möbel/Ausstattung,2745,.. >= 1000 DM,4 <= ... < 7 Jahre,3,männlich : ledig,keine,2,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",32,Keine,Eigentum,2,gelernt - Angestellter/Beamter,1,"ja, unter dem Namen des Kunden registriert",ja,guter Kredit
kein Girokonto,6,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Auto (neu),672,... < 100 DM,arbeitslos,1,weiblich : geschieden/getrennt/verheiratet,keine,4,Immobilie,54,Keine,Eigentum,1,arbeitslos/ungelernt - nicht ansässig,1,"ja, unter dem Namen des Kunden registriert",ja,guter Kredit
0 <= ... < 200 DM,36,keine Kredite aufgenommen / alle Kredite wurden ordnungsgemäß zurückgezahlt,Radio/TV,3804,... < 100 DM,1 <= ... < 4 Jahre,4,weiblich : geschieden/getrennt/verheiratet,keine,1,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",42,Keine,Eigentum,1,gelernt - Angestellter/Beamter,1,"ja, unter dem Namen des Kunden registriert",ja,schlechter Kredit
... >= 200 DM / Gehaltspfändung mindestens 1 Jahr,24,kritisches Konto / andere Kredite bestehen (nicht bei dieser Bank),Auto (neu),1344,unbekannt/kein Sparkonto,4 <= ... < 7 Jahre,4,männlich : ledig,keine,2,Immobilie,37,Bank,Eigentum,2,ungelernt - ansässig,2,kein Telefon,ja,schlechter Kredit
... < 0 DM,10,kritisches Konto / andere Kredite bestehen (nicht bei dieser Bank),Auto (neu),1038,... < 100 DM,4 <= ... < 7 Jahre,4,männlich : ledig,Mit-Antragsteller,3,wenn nicht A121: Bausparvertrag/Lebensversicherung,49,Keine,Eigentum,2,gelernt - Angestellter/Beamter,1,"ja, unter dem Namen des Kunden registriert",ja,guter Kredit
kein Girokonto,48,kritisches Konto / andere Kredite bestehen (nicht bei dieser Bank),Auto (neu),10127,500 <= ... < 1000 DM,1 <= ... < 4 Jahre,2,männlich : ledig,keine,2,unbekannt/kein Eigentum,44,Bank,kostenlos,1,gelernt - Angestellter/Beamter,1,kein Telefon,ja,schlechter Kredit
kein Girokonto,6,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Möbel/Ausstattung,1543,.. >= 1000 DM,1 <= ... < 4 Jahre,4,männlich : geschieden/getrennt,keine,2,Immobilie,33,Keine,Eigentum,1,gelernt - Angestellter/Beamter,1,kein Telefon,ja,guter Kredit
kein Girokonto,30,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Auto (gebraucht),4811,unbekannt/kein Sparkonto,4 <= ... < 7 Jahre,2,weiblich : geschieden/getrennt/verheiratet,keine,4,wenn nicht A121: Bausparvertrag/Lebensversicherung,24,Läden,Miete,1,ungelernt - ansässig,1,kein Telefon,ja,guter Kredit
... < 0 DM,12,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Radio/TV,727,100 <= ... < 500 DM,... < 1 Jahr,4,männlich : verheiratet/witwer,keine,3,unbekannt/kein Eigentum,33,Keine,Eigentum,1,ungelernt - ansässig,1,"ja, unter dem Namen des Kunden registriert",ja,schlechter Kredit
0 <= ... < 200 DM,8,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Möbel/Ausstattung,1237,... < 100 DM,1 <= ... < 4 Jahre,3,weiblich : geschieden/getrennt/verheiratet,keine,4,Immobilie,24,Keine,Eigentum,1,gelernt - Angestellter/Beamter,1,kein Telefon,ja,schlechter Kredit
0 <= ... < 200 DM,9,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Auto (neu),276,... < 100 DM,1 <= ... < 4 Jahre,4,männlich : verheiratet/witwer,keine,4,Immobilie,22,Keine,Miete,1,ungelernt - ansässig,1,kein Telefon,ja,guter Kredit
0 <= ... < 200 DM,48,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Sonstiges,5381,unbekannt/kein Sparkonto,arbeitslos,3,männlich : ledig,keine,4,unbekannt/kein Eigentum,40,Bank,kostenlos,1,arbeitslos/ungelernt - nicht ansässig,1,"ja, unter dem Namen des Kunden registriert",ja,guter Kredit
kein Girokonto,24,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Möbel/Ausstattung,5511,100 <= ... < 500 DM,1 <= ... < 4 Jahre,4,männlich : ledig,keine,1,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",25,Läden,Eigentum,1,gelernt - Angestellter/Beamter,1,kein Telefon,ja,guter Kredit
... >= 200 DM / Gehaltspfändung mindestens 1 Jahr,24,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Möbel/Ausstattung,3749,... < 100 DM,... < 1 Jahr,2,weiblich : geschieden/getrennt/verheiratet,keine,4,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",26,Keine,Eigentum,1,gelernt - Angestellter/Beamter,1,kein Telefon,ja,guter Kredit
0 <= ... < 200 DM,12,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Auto (neu),685,... < 100 DM,4 <= ... < 7 Jahre,2,männlich : verheiratet/witwer,keine,3,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",25,Bank,Eigentum,1,ungelernt - ansässig,1,kein Telefon,ja,schlechter Kredit
... >= 200 DM / Gehaltspfändung mindestens 1 Jahr,4,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Auto (neu),1494,unbekannt/kein Sparkonto,... < 1 Jahr,1,männlich : ledig,keine,2,Immobilie,29,Keine,Eigentum,1,ungelernt - ansässig,2,kein Telefon,nein,guter Kredit
... < 0 DM,36,alle Kredite bei dieser Bank wurden ordnungsgemäß zurückgezahlt,Möbel/Ausstattung,2746,... < 100 DM,.. >= 7 Jahre,4,männlich : ledig,keine,4,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",31,Bank,Eigentum,1,gelernt - Angestellter/Beamter,1,kein Telefon,ja,schlechter Kredit
